id,route,explain
1,POST /api/auth/register,"Register a new user account with email and password"
2,POST /api/auth/login,"Authenticate user credentials and issue access/refresh tokens"
3,POST /api/auth/logout,"Invalidate current session and revoke tokens"
4,POST /api/auth/refresh,"Exchange refresh token for a new access token"
5,POST /api/auth/forgot-password,"Send password reset link to user email"
6,POST /api/auth/reset-password,"Reset password using token from email"
7,POST /api/auth/verify-email,"Verify user email address with confirmation token"
8,POST /api/auth/resend-verification,"Resend email verification link"
9,POST /api/auth/change-password,"Change current user password (requires old password)"
10,GET /api/auth/me,"Get current authenticated user profile and roles"
11,POST /api/auth/2fa/enable,"Enable two-factor authentication for current user"
12,POST /api/auth/2fa/verify,"Verify 2FA code during login or setup"
13,POST /api/auth/2fa/disable,"Disable two-factor authentication"
14,GET /api/users,"List all users with pagination, filter, and search"
15,POST /api/users,"Create a new user account (admin)"
16,GET /api/users/:id,"Get user details by ID"
17,PUT /api/users/:id,"Update user information"
18,DELETE /api/users/:id,"Soft delete user account"
19,PATCH /api/users/:id/activate,"Activate a deactivated user account"
20,PATCH /api/users/:id/deactivate,"Deactivate a user account without deletion"
21,PATCH /api/users/:id/reset-password,"Admin force-reset user password"
22,GET /api/users/:id/sessions,"List active sessions of a user"
23,DELETE /api/users/:id/sessions/:sessionId,"Revoke a specific user session"
24,GET /api/roles,"List all roles in the system"
25,POST /api/roles,"Create a new role"
26,GET /api/roles/:id,"Get role details with permissions"
27,PUT /api/roles/:id,"Update role name and description"
28,DELETE /api/roles/:id,"Delete a role"
29,GET /api/roles/:id/permissions,"List permissions assigned to a role"
30,POST /api/roles/:id/permissions,"Assign permissions to a role"
31,DELETE /api/roles/:id/permissions/:permissionId,"Remove a permission from a role"
32,POST /api/roles/:id/assign,"Assign role to one or more users"
33,GET /api/permissions,"List all available permissions"
34,POST /api/permissions,"Create a new permission"
35,GET /api/permissions/:id,"Get permission details"
36,PUT /api/permissions/:id,"Update permission name and description"
37,DELETE /api/permissions/:id,"Delete a permission"
38,GET /api/employees,"List all employees with filter, search, pagination"
39,POST /api/employees,"Create new employee record"
40,GET /api/employees/:id,"Get full employee profile by ID"
41,PUT /api/employees/:id,"Update employee information"
42,DELETE /api/employees/:id,"Terminate/delete employee record"
43,POST /api/employees/:id/avatar,"Upload employee profile picture"
44,GET /api/employees/:id/documents,"List documents attached to employee"
45,POST /api/employees/:id/documents,"Upload document for employee (CV, contract, ID)"
46,DELETE /api/employees/:id/documents/:docId,"Remove employee document"
47,GET /api/employees/:id/history,"Get employment history (positions, departments, salary)"
48,GET /api/employees/:id/dependents,"List employee family/dependents"
49,POST /api/employees/:id/dependents,"Add dependent record for employee"
50,PUT /api/employees/:id/dependents/:depId,"Update dependent information"
51,DELETE /api/employees/:id/dependents/:depId,"Remove a dependent record"
52,GET /api/employees/:id/emergency-contacts,"List employee emergency contacts"
53,POST /api/employees/:id/emergency-contacts,"Add emergency contact"
54,POST /api/employees/:id/terminate,"Process employee termination workflow"
55,POST /api/employees/:id/rehire,"Rehire previously terminated employee"
56,POST /api/employees/import,"Bulk import employees from CSV/Excel"
57,GET /api/employees/export,"Export employees list to CSV/Excel"
58,GET /api/employees/search,"Advanced employee search across all fields"
59,GET /api/employees/:id/org-chart,"Get reporting chain for an employee"
60,GET /api/departments,"List all departments"
61,POST /api/departments,"Create a new department"
62,GET /api/departments/:id,"Get department details"
63,PUT /api/departments/:id,"Update department name, head, parent"
64,DELETE /api/departments/:id,"Delete a department"
65,GET /api/departments/:id/employees,"List employees in a department"
66,GET /api/departments/tree,"Get hierarchical department tree"
67,POST /api/departments/:id/assign-head,"Assign a department head"
68,GET /api/positions,"List all job positions"
69,POST /api/positions,"Create a new position"
70,GET /api/positions/:id,"Get position details and requirements"
71,PUT /api/positions/:id,"Update position information"
72,DELETE /api/positions/:id,"Delete a position"
73,GET /api/positions/:id/employees,"List employees in a position"
74,GET /api/job-grades,"List salary/job grades"
75,POST /api/job-grades,"Create a job grade with salary range"
76,PUT /api/job-grades/:id,"Update job grade salary band"
77,DELETE /api/job-grades/:id,"Delete a job grade"
78,POST /api/attendance/check-in,"Employee check-in for the day"
79,POST /api/attendance/check-out,"Employee check-out for the day"
80,GET /api/attendance,"List attendance records with filters"
81,GET /api/attendance/:id,"Get specific attendance record"
82,PUT /api/attendance/:id,"Adjust/correct an attendance record (admin)"
83,DELETE /api/attendance/:id,"Delete attendance record (admin)"
84,GET /api/attendance/today,"Get today's attendance status for all employees"
85,GET /api/attendance/employee/:employeeId,"Get attendance history for an employee"
86,GET /api/attendance/summary,"Aggregated attendance stats per employee/date range"
87,POST /api/attendance/manual,"Manually create attendance entry (admin)"
88,GET /api/attendance/late,"List late arrivals"
89,GET /api/attendance/absent,"List absent employees"
90,POST /api/attendance/overtime,"Submit overtime request"
91,GET /api/attendance/overtime,"List overtime records"
92,PUT /api/attendance/overtime/:id/approve,"Approve overtime request"
93,PUT /api/attendance/overtime/:id/reject,"Reject overtime request"
94,GET /api/leaves,"List all leave requests with filters"
95,POST /api/leaves,"Submit a new leave request"
96,GET /api/leaves/:id,"Get specific leave request details"
97,PUT /api/leaves/:id,"Update pending leave request"
98,DELETE /api/leaves/:id,"Cancel a leave request"
99,POST /api/leaves/:id/approve,"Approve a leave request"
100,POST /api/leaves/:id/reject,"Reject a leave request with reason"
101,GET /api/leaves/employee/:employeeId,"Get leave history of an employee"
102,GET /api/leaves/balance/:employeeId,"Get remaining leave balance per leave type"
103,GET /api/leaves/types,"List all leave types (annual, sick, maternity, etc.)"
104,POST /api/leaves/types,"Create a new leave type"
105,PUT /api/leaves/types/:id,"Update leave type configuration"
106,DELETE /api/leaves/types/:id,"Delete a leave type"
107,GET /api/leaves/calendar,"Calendar view of approved leaves"
108,GET /api/leaves/pending,"List leaves pending current user approval"
109,GET /api/payroll,"List payroll runs with filters"
110,POST /api/payroll/generate,"Generate payroll for a period"
111,GET /api/payroll/:id,"Get payroll run details"
112,PUT /api/payroll/:id,"Update payroll run (before finalization)"
113,DELETE /api/payroll/:id,"Delete a draft payroll run"
114,POST /api/payroll/:id/approve,"Approve and finalize payroll run"
115,POST /api/payroll/:id/disburse,"Mark payroll as paid/disbursed"
116,GET /api/payroll/:id/payslips,"List all payslips in a payroll run"
117,GET /api/payslips/:id,"Get individual payslip details"
118,GET /api/payslips/:id/download,"Download payslip as PDF"
119,GET /api/payslips/employee/:employeeId,"List payslips of an employee"
120,GET /api/payroll/summary,"Payroll summary stats per period"
121,GET /api/salaries,"List employee salary records"
122,POST /api/salaries,"Set salary for an employee"
123,GET /api/salaries/:id,"Get salary record details"
124,PUT /api/salaries/:id,"Update employee salary (creates history)"
125,DELETE /api/salaries/:id,"Delete salary record"
126,GET /api/salaries/employee/:employeeId,"Get salary history of an employee"
127,GET /api/bonuses,"List all bonus records"
128,POST /api/bonuses,"Create bonus entry for employee(s)"
129,PUT /api/bonuses/:id,"Update bonus amount or note"
130,DELETE /api/bonuses/:id,"Remove bonus entry"
131,GET /api/allowances,"List all allowance records"
132,POST /api/allowances,"Add allowance (transport, meal, housing)"
133,PUT /api/allowances/:id,"Update allowance"
134,DELETE /api/allowances/:id,"Remove allowance"
135,GET /api/deductions,"List salary deductions"
136,POST /api/deductions,"Add deduction (tax, insurance, loan)"
137,PUT /api/deductions/:id,"Update deduction"
138,DELETE /api/deductions/:id,"Remove deduction"
139,GET /api/tax-rules,"List tax rules and brackets"
140,POST /api/tax-rules,"Create new tax rule"
141,PUT /api/tax-rules/:id,"Update tax rule"
142,DELETE /api/tax-rules/:id,"Delete tax rule"
143,GET /api/performances,"List performance reviews"
144,POST /api/performances,"Create performance review cycle"
145,GET /api/performances/:id,"Get performance review details"
146,PUT /api/performances/:id,"Update performance review"
147,DELETE /api/performances/:id,"Delete performance review"
148,POST /api/performances/:id/submit,"Submit review for approval"
149,POST /api/performances/:id/approve,"Approve performance review"
150,GET /api/performances/employee/:employeeId,"Get reviews of an employee"
151,POST /api/performances/:id/feedback,"Add 360-degree feedback"
152,GET /api/kpis,"List KPI definitions"
153,POST /api/kpis,"Create new KPI"
154,PUT /api/kpis/:id,"Update KPI"
155,DELETE /api/kpis/:id,"Delete KPI"
156,GET /api/goals,"List goals (OKRs)"
157,POST /api/goals,"Create a goal for employee/team"
158,GET /api/goals/:id,"Get goal details"
159,PUT /api/goals/:id,"Update goal progress"
160,DELETE /api/goals/:id,"Delete goal"
161,POST /api/goals/:id/progress,"Update goal completion progress"
162,GET /api/jobs,"List job postings"
163,POST /api/jobs,"Create a new job posting"
164,GET /api/jobs/:id,"Get job posting details"
165,PUT /api/jobs/:id,"Update job posting"
166,DELETE /api/jobs/:id,"Delete job posting"
167,POST /api/jobs/:id/publish,"Publish job posting publicly"
168,POST /api/jobs/:id/close,"Close job posting"
169,GET /api/jobs/public,"Public-facing list of open jobs"
170,GET /api/candidates,"List all candidates"
171,POST /api/candidates,"Create candidate record"
172,GET /api/candidates/:id,"Get candidate profile"
173,PUT /api/candidates/:id,"Update candidate information"
174,DELETE /api/candidates/:id,"Delete candidate record"
175,POST /api/candidates/:id/upload-cv,"Upload candidate resume/CV"
176,GET /api/applications,"List job applications"
177,POST /api/applications,"Submit a job application"
178,GET /api/applications/:id,"Get application details"
179,PUT /api/applications/:id/status,"Update application stage (screening, interview, offer)"
180,DELETE /api/applications/:id,"Withdraw/delete application"
181,GET /api/interviews,"List scheduled interviews"
182,POST /api/interviews,"Schedule a new interview"
183,GET /api/interviews/:id,"Get interview details"
184,PUT /api/interviews/:id,"Reschedule or update interview"
185,DELETE /api/interviews/:id,"Cancel an interview"
186,POST /api/interviews/:id/feedback,"Submit interview feedback"
187,POST /api/applications/:id/offer,"Generate offer letter"
188,POST /api/applications/:id/hire,"Convert candidate to employee"
189,POST /api/applications/:id/reject,"Reject application with reason"
190,GET /api/trainings,"List training programs"
191,POST /api/trainings,"Create a training program"
192,GET /api/trainings/:id,"Get training details"
193,PUT /api/trainings/:id,"Update training program"
194,DELETE /api/trainings/:id,"Delete training program"
195,POST /api/trainings/:id/enroll,"Enroll employee(s) in training"
196,DELETE /api/trainings/:id/enroll/:employeeId,"Unenroll employee from training"
197,GET /api/trainings/:id/participants,"List participants of a training"
198,POST /api/trainings/:id/complete,"Mark training as completed for participant"
199,GET /api/trainings/employee/:employeeId,"Get training history of employee"
200,GET /api/certifications,"List all certifications"
201,POST /api/certifications,"Add a certification record"
202,PUT /api/certifications/:id,"Update certification"
203,DELETE /api/certifications/:id,"Delete certification"
204,GET /api/certifications/expiring,"List certifications expiring soon"
205,GET /api/skills,"List skill catalog"
206,POST /api/skills,"Create a new skill"
207,PUT /api/skills/:id,"Update skill"
208,DELETE /api/skills/:id,"Delete skill"
209,GET /api/employees/:id/skills,"List skills of an employee"
210,POST /api/employees/:id/skills,"Add skill with proficiency level"
211,DELETE /api/employees/:id/skills/:skillId,"Remove skill from employee"
212,GET /api/schedules,"List work schedules"
213,POST /api/schedules,"Create a work schedule"
214,GET /api/schedules/:id,"Get schedule details"
215,PUT /api/schedules/:id,"Update schedule"
216,DELETE /api/schedules/:id,"Delete schedule"
217,POST /api/schedules/:id/assign,"Assign schedule to employee(s)"
218,GET /api/shifts,"List shift definitions"
219,POST /api/shifts,"Create a shift (morning, evening, night)"
220,GET /api/shifts/:id,"Get shift details"
221,PUT /api/shifts/:id,"Update shift timings"
222,DELETE /api/shifts/:id,"Delete shift"
223,POST /api/shifts/swap,"Request shift swap with colleague"
224,PUT /api/shifts/swap/:id/approve,"Approve shift swap request"
225,GET /api/holidays,"List public/company holidays"
226,POST /api/holidays,"Create a holiday entry"
227,PUT /api/holidays/:id,"Update holiday"
228,DELETE /api/holidays/:id,"Delete holiday"
229,GET /api/holidays/calendar,"Holiday calendar view"
230,GET /api/reports/dashboard,"Main HR dashboard metrics"
231,GET /api/reports/employees,"Employee headcount and demographics report"
232,GET /api/reports/attendance,"Attendance summary report"
233,GET /api/reports/leaves,"Leave usage report"
234,GET /api/reports/payroll,"Payroll cost report"
235,GET /api/reports/performance,"Performance review summary"
236,GET /api/reports/recruitment,"Recruitment funnel and time-to-hire"
237,GET /api/reports/training,"Training completion and cost report"
238,GET /api/reports/turnover,"Employee turnover/retention rate"
239,POST /api/reports/custom,"Generate custom report from query"
240,POST /api/reports/export,"Export report to PDF/Excel/CSV"
241,GET /api/documents,"List all documents"
242,POST /api/documents,"Upload a new document"
243,GET /api/documents/:id,"Get document metadata"
244,PUT /api/documents/:id,"Update document metadata"
245,DELETE /api/documents/:id,"Delete a document"
246,GET /api/documents/:id/download,"Download document file"
247,GET /api/contracts,"List employment contracts"
248,POST /api/contracts,"Create a new contract"
249,GET /api/contracts/:id,"Get contract details"
250,PUT /api/contracts/:id,"Update contract terms"
251,DELETE /api/contracts/:id,"Delete contract"
252,POST /api/contracts/:id/sign,"E-sign contract"
253,GET /api/contracts/expiring,"List contracts expiring soon"
254,GET /api/notifications,"List notifications for current user"
255,GET /api/notifications/:id,"Get notification details"
256,PUT /api/notifications/:id/read,"Mark notification as read"
257,PUT /api/notifications/read-all,"Mark all notifications as read"
258,DELETE /api/notifications/:id,"Delete a notification"
259,POST /api/notifications/send,"Send notification (admin/system)"
260,GET /api/announcements,"List company announcements"
261,POST /api/announcements,"Create company announcement"
262,PUT /api/announcements/:id,"Update announcement"
263,DELETE /api/announcements/:id,"Delete announcement"
264,GET /api/settings,"Get all system settings"
265,PUT /api/settings,"Update system settings"
266,GET /api/settings/company,"Get company profile info"
267,PUT /api/settings/company,"Update company profile (name, logo, address)"
268,GET /api/settings/working-hours,"Get default working hours config"
269,PUT /api/settings/working-hours,"Update working hours policy"
270,GET /api/audit-logs,"List system audit logs"
271,GET /api/audit-logs/:id,"Get specific audit log entry"
272,GET /api/audit-logs/user/:userId,"Audit trail for a specific user"
